Name,Location,Open Year-Round,Handicap Accessible,Borough
100% Playground,"Glenwood Road, East 100 & East 101 streets",Yes,No,Brooklyn
174th Street Playground,"East 174 Street, Stratford Avenue, Bronx River Avenue",Yes,No,Bronx
227 Street Playground,Bronx Boulevard between East 226 and East 228 streets,Yes,Yes,Bronx
Abe Lincoln,"East 135 Street, between Madison & 5 avenues",Yes,No,Manhattan
Abigail Playground,"East 156 Street, Tinton Avenue",No,No,Bronx
Agnes Haywood Playground,"East 215 Street, Barnes Avenue, East 216 Street",Yes,No,Bronx
Albemarle Park,Albermarle Road & Dahill Road,Yes,Yes,Brooklyn
Albert J. Parham Playground,"Adelphi Street, Clermont, DeKalb & Willoughby avenues",Yes,Yes,Brooklyn
Alexander Hamilton Playground,Hamilton Place, West 140 to West 141 streets, New York, NY,Yes,No,Manhattan
Alfred E. Smith Park,"76 Catherine St, New York, NY 10038",Yes,No,Manhattan
Alice Kornegay Triangle,"Lexington Avenue, East 128 & East 129 streets",Yes,No,Manhattan
Allerton Playground,"Anrow Avenue, Bouck Avenue, Throop Avenue, Streetedman Place, Allerton Avenue",Yes,No,Bronx
Alley Park (PS 213),67 Avenue & 230 Street,Yes,No,Queens
Alley Pond Park,"Entrance off Grand Central Parkway, includes athletic fields and picnic areas",Yes,No,Queens
Alley Pond Park (Alley Athletic Field),"Grand Central Parkway, Winchester Boulevard, &Union Turnpike",Yes,No,Queens
Alley Pond Park (Alley Pond Spring),"Springfield Boulevard, 73rd Avenue, 76th Avenue to tree line & natural area",Yes,No,Queens
Alley Pond Park (Horatio Playground),Horatio Parkway and 50 Avenue,Yes,No,Queens
Alstyne Playground,Alystine Avenue & 102 Street,Yes,No,Queens
American Playground,"Noble, Franklin Milton Streets",Yes,Yes,Brooklyn
Ampere Playground (PS 64),101 Avenue & 82 Street,Yes,No,Queens
Andrews Playground,"49 Avenue, Vernon Boulevard, 5 Street",No,No,Queens
Annandale Playground (PS 175),"Yellowstone Boulevard, 65 Road, 65 Avenue",Yes,Yes,Queens
Annunciation Park,"Convent and Amsterdam Av, W 135 St",No,Yes,Manhattan
Arcilla Playground,"Teller Avenue, Park Avenue, Clay Avenue, East 64 Street",Yes,Yes,Bronx
Arrochar Playground,"Sand Lane, Major Avenue, McFarland Avenue",Yes,Yes,Staten Island
Arrow Community Garden,"35th Street, between 35th and 36th Avenue",Yes,No,Queens
Asser Levy,Asser Levy Place & East 24-25 streets,Yes,No,Manhattan
Asser Levy Park,"Boardwalk, Surf, Sea Breeze avenues, Ocean Parkway",Yes,No,Brooklyn
Asser Levy Park (Performance Space),"Boardwalk, Surf, Sea Breeze avenues, Ocean Parkway",Yes,No,Brooklyn
Astoria Heights Playground,"30 Road, 45 to 46 streets",Yes,No,Queens
Astoria Park (Charybdis Playground),Shore Boulevard opposite 23 Road,Yes,No,Queens
Athens Sq (PS 17),"29 Street, 30 Street, 30 Avenue, Newtown Avenue",Yes,Yes,Queens
Aubondale Playground,"170-171 streets, 33-35 avenues",Yes,No,Queens
Audubon Playground,West 170 Street & Audubon Avenue,Yes,No,Manhattan
Augustus St. Gaudens,"East 19 to East 20 streets, 2 Avenue",Yes,No,Manhattan
Bailey Playground,"Bailey Avenue, Weast 233-West 238 streets",Yes,No,Bronx
Baisley Pond Park,"Rockaway Boulevard, 125th Avenue, & Baisley Boulevard South",Yes,No,Queens
Baisley Pond Park,"150th Street, Rockaway Boulevard, Baisley Boulevard South, & North Conduit Avenue",Yes,No,Queens
Baisley Pond Park (157th Street Playground),157 Street & 116 Avenue,Yes,No,Queens
Bartlett Playground,Bartlett Street & Throop Avenue,Yes,No,Brooklyn
Battery Park (Battery Gardens),"Battery Place, State & Whitehall streets",Yes,No,Manhattan
Battery Park Comfort Station,"Battery Place, State & Whitehall streets",Yes,No,Manhattan
Bay Terrace Playground (PS 169),23 Avenue & 212 Street,Yes,No,Queens
Bayside Fields,"204 Street & 29 Avenue, Clearview Expressway",Yes,Yes,Queens
Bayside Playground (JHS 180),Beach Channel Drive & Seaside Avenue,No,No,Queens
Bayview Playground,Seaview Avenue & East 99 Street,Yes,No,Brooklyn
Bedford Playground,"Bedford Avenue & South 9 Street, Division Avenue",Yes,No,Brooklyn
Behagen Playground,"Tinton Avenue, East 165 Street, Union Avenue, East 166 Street",Yes,Yes,Bronx
Bellaire Playground,"89 Avenue, 207 & 208 streets",Yes,No,Queens
Belmont Playground,"Crotona Avenue, East 181 Street",Yes,Yes,Bronx
Bendheim Playground,100th Street and Fifth Ave,No,Yes,Manhattan
Bennett Park,"West 185 Street, Ft Washington Avenue",Yes,No,Manhattan
