"100% Playground","Glenwood Road, East 100 & East 101 streets","Yes","No","Brooklyn","{'lng': -73.8990554, 'lat': 40.6465901}"
"227 Street Playground","Bronx Boulevard between East 226 and East 228 streets","Yes","Yes","Bronx","{'lng': -73.86542949999999, 'lat': 40.8370495}"
"Abigail Playground","East 156 Street, Tinton Avenue","No","No","Bronx","{'lng': -73.90484289999999, 'lat': 40.8173278}"
"Albemarle Park","Albermarle Road & Dahill Road","Yes","Yes","Brooklyn","{'lng': -73.9654503, 'lat': 40.6466537}"
"Alexander Hamilton Playground","Hamilton Place, West 140 to West 141 streets","Yes","No","Manhattan","{'lng': -73.9513202, 'lat': 40.8230268}"
"Alice Kornegay Triangle","Lexington Avenue, East 128 & East 129 streets","Yes","No","Manhattan","{'lng': -73.9712488, 'lat': 40.7830603}"
"Alley Park (PS 213)","67 Avenue & 230 Street","Yes","No","Queens","{'lng': -73.7702577, 'lat': 40.7600724}"
"Alley Pond Park (Alley Athletic Field)","Grand Central Parkway, Winchester Boulevard, &Union Turnpike","Yes","No","Queens","{'lng': -73.7948516, 'lat': 40.7282239}"
"Alley Pond Park (Horatio Playground)","Horatio Parkway and 50 Avenue","Yes","No","Queens","{'lng': -73.7948516, 'lat': 40.7282239}"
"American Playground","Noble, Franklin Milton Streets","Yes","Yes","Brooklyn","{'lng': -73.9578409, 'lat': 40.7288257}"
"Andrews Playground","49 Avenue, Vernon Boulevard, 5 Street","No","No","Queens","{'lng': -73.9548102, 'lat': 40.7434498}"
"Annunciation Park","Convent and Amsterdam Av, W 135 St","No","Yes","Manhattan","{'lng': -73.9712488, 'lat': 40.7830603}"
"Arrochar Playground","Sand Lane, Major Avenue, McFarland Avenue","Yes","Yes","Staten Island","{'lng': -74.0709523, 'lat': 40.5976316}"
"Asser Levy","Asser Levy Place & East 24-25 streets","Yes","No","Manhattan","{'lng': -73.976311, 'lat': 40.7359523}"
"Asser Levy Park (Performance Space)","Boardwalk, Surf, Sea Breeze avenues, Ocean Parkway","Yes","No","Brooklyn","{'lng': -73.9441579, 'lat': 40.6781784}"
"Astoria Park (Charybdis Playground)","Shore Boulevard opposite 23 Road","Yes","No","Queens","{'lng': -73.7948516, 'lat': 40.7282239}"
"Aubondale Playground","170-171 streets, 33-35 avenues","Yes","No","Queens","{'lng': -73.7942082, 'lat': 40.7658583}"
"Augustus St. Gaudens","East 19 to East 20 streets, 2 Avenue","Yes","No","Manhattan","{'lng': -73.9823601, 'lat': 40.7356292}"
"Baisley Pond Park","Rockaway Boulevard, 125th Avenue, & Baisley Boulevard South","Yes","No","Queens","{'lng': -73.7852922, 'lat': 40.6755827}"
"Baisley Pond Park (157th Street Playground)","157 Street & 116 Avenue","Yes","No","Queens","{'lng': -73.7948516, 'lat': 40.7282239}"
"Battery Park (Battery Gardens)","Battery Place, State & Whitehall streets","Yes","No","Manhattan","{'lng': -74.01651129999999, 'lat': 40.7040775}"
"Bay Terrace Playground (PS 169)","23 Avenue & 212 Street","Yes","No","Queens","{'lng': -73.7507068, 'lat': 40.7743349}"
"Bayside Playground (JHS 180)","Beach Channel Drive & Seaside Avenue","No","No","Queens","{'lng': -73.7948516, 'lat': 40.7282239}"
"Bedford Playground","Bedford Avenue & South 9 Street, Division Avenue","Yes","No","Brooklyn","{'lng': -73.96392139999999, 'lat': 40.708391}"
"Bellaire Playground","89 Avenue, 207 & 208 streets","Yes","No","Queens","{'lng': -73.7578984, 'lat': 40.7215183}"
"Bendheim Playground","100th Street and Fifth Ave","No","Yes","Manhattan","{'lng': -73.95440239999999, 'lat': 40.7902926}"
"Benson Playground","Bath Avenue between Bay 22 & Bay 23 streets","Yes","No","Brooklyn","{'lng': -74.00219369999999, 'lat': 40.6023879}"
"Betsy Head Playground","Livonia, Dumont, Hopkinson, Blake avenues, Strauss Street","Yes","No","Brooklyn","{'lng': -73.9118989, 'lat': 40.6646726}"
"Big Bush Park","61 Street, north and south of Brooklyn-Queens Expressway","Yes","No","Queens","{'lng': -73.90272999999999, 'lat': 40.7395042}"
"Bill Brown Memorial Playground","Bedford Avenue, Avenue X to Avenue Y, E 24 Street","Yes","No","Brooklyn","{'lng': -73.9441579, 'lat': 40.6781784}"
"Blood Root Valley (Greenbelt Nature Center)","Rockland, Manor and Brielle avenues, Forest Hill Road","Yes","Yes","Staten Island","{'lng': -74.1502007, 'lat': 40.5795317}"
"Bloomingdale Park","Richmond Pkwy, Bloomingdale Rd., Lenevar Ave","No","Yes","Staten Island","{'lng': -74.2105955, 'lat': 40.5334003}"
"Blue Heron Park Preserve (Nature Center)","Poillon Avenue","Yes","Yes","Staten Island","{'lng': -74.1502007, 'lat': 40.5795317}"
"Bowne Playground","Union Street and Sanford Avenue","Yes","No","Queens","{'lng': -73.82481349999999, 'lat': 40.7579884}"
"Breukelen Playground","Louisiana & Flatlands Avenue","Yes","No","Brooklyn","{'lng': -73.9441579, 'lat': 40.6781784}"
"Bridge Park 2","Bridge & Prospect streets","Yes","No","Brooklyn","{'lng': -73.9966335, 'lat': 40.70052769999999}"
"Bronx Park (Ben Abrams Playground)","Lydig Avenue & Bronx Park East","Yes","No","Bronx","{'lng': -73.86542949999999, 'lat': 40.8370495}"
"Bronx Park (French Charley's Playground)","East 204 Street & W/S Bronx Park","Yes","No","Bronx","{'lng': -73.86542949999999, 'lat': 40.8370495}"
"Bronx Park (Ranaqua)","Southern Boulevard, Webster, Burke avenues, Bronx Park East, 180 Street","Yes","No","Bronx","{'lng': -73.92229619999999, 'lat': 40.8067116}"
"Bronx Park (Rosewood Playground)","Bronx River Parkway & Rosewood Street","Yes","No","Bronx","{'lng': -73.86542949999999, 'lat': 40.8370495}"
"Bronx River Parkway (Parque de los Ninos)","Bronx River Parkway, Bronx Park, Westchester/NYC City Line.","Yes","Yes","Bronx","{'lng': -73.8345485, 'lat': 40.94766449999999}"
